Comorbidity_A,Comorbidity_B,Raw_Col_A,Raw_Col_B,Cases_A,Cases_B,Overlap_Count,Jaccard_Similarity,Phi_Correlation,Odds_Ratio,P_Value
Hashimoto Thyroiditis,Alopecia Areata,MONDO_Hashimoto_thyroiditis,MONDO_alopecia_areata,18,17,0,0.0,-0.07396572845038646,0.0,0.6180083632284836
Hashimoto Thyroiditis,Astigmatism,MONDO_Hashimoto_thyroiditis,MONDO_astigmatism,18,25,3,0.075,0.06326661438386111,1.9454545454545455,0.39932132516479685
Hashimoto Thyroiditis,Atrial Septal Defect,MONDO_Hashimoto_thyroiditis,MONDO_atrial_septal_defect,18,82,7,0.07526881720430108,0.03901607157294792,1.366060606060606,0.6028212275718183
Hashimoto Thyroiditis,Atrioventricular Septal Defect,MONDO_Hashimoto_thyroiditis,MONDO_atrioventricular_septal_defect,18,32,3,0.06382978723404255,0.033858616921518564,1.4275862068965517,0.4822633836998361
Hashimoto Thyroiditis,Celiac Disease,MONDO_Hashimoto_thyroiditis,MONDO_celiac_disease,18,24,4,0.10526315789473684,0.12060104035083828,3.085714285714286,0.0759912845797268
Hashimoto Thyroiditis,Conductive Hearing Loss Disorder,MONDO_Hashimoto_thyroiditis,MONDO_conductive_hearing_loss_disorder,18,41,4,0.07272727272727272,0.04564264582799728,1.5366795366795367,0.5040297309482942
Hashimoto Thyroiditis,Congenital Heart Disease,MONDO_Hashimoto_thyroiditis,MONDO_congenital_heart_disease,18,141,11,0.07432432432432433,0.03111708693543463,1.2813186813186814,0.8064498535019816
Hashimoto Thyroiditis,Eustachian Tube Disorder,MONDO_Hashimoto_thyroiditis,MONDO_eustachian_tube_disorder,18,27,2,0.046511627906976744,0.004311571734154367,1.055,1.0
Hashimoto Thyroiditis,Folliculitis,MONDO_Hashimoto_thyroiditis,MONDO_folliculitis,18,38,5,0.09803921568627451,0.09923998457506712,2.365967365967366,0.16006776743511972
Hashimoto Thyroiditis,Hearing Loss Disorder,MONDO_Hashimoto_thyroiditis,MONDO_hearing_loss_disorder,18,59,3,0.04054054054054054,-0.04291268504591808,0.6428571428571429,0.7720436159945937
