Gene,Num_Protected_Comorbidities,Protected_Comorbidities,Median_RR,Max_CI_Upper
ENSG00000158859.9,6,"Astigmatism, Hidradenitis Suppurativa, Patent Ductus Arteriosus, Patent Foramen Ovale, Seborrheic Dermatitis, Strabismus",0.2823673240339907,0.9066230624600388
ENSG00000170485.16,6,"Hashimoto Thyroiditis, Astigmatism, Eustachian Tube Disorder, Folliculitis, Hidradenitis Suppurativa, Obstructive Sleep Apnea Syndrome",0.3970070422535211,0.9969773795522778
ENSG00000023318.7,5,"Astigmatism, Eustachian Tube Disorder, Obstructive Sleep Apnea Syndrome, Otitis Media, Susceptibility To, Patent Foramen Ovale",0.38306292045904233,0.9561187407022315
ENSG00000182979.17,5,"Astigmatism, Eustachian Tube Disorder, Otitis Media, Susceptibility To, Patent Ductus Arteriosus, Patent Foramen Ovale",0.46895695364238416,0.9723271231683605
ENSG00000116497.17,5,"Eustachian Tube Disorder, Obstructive Sleep Apnea Syndrome, Otitis Media, Susceptibility To, Patent Ductus Arteriosus, Patent Foramen Ovale",0.5077186963979416,0.9682633512119564
ENSG00000203876.9,4,"Atrial Septal Defect, Conductive Hearing Loss Disorder, Psoriasis, Seborrheic Dermatitis",0.4271116034339518,0.9942231292221213
ENSG00000187244.10,4,"Folliculitis, Hidradenitis Suppurativa, Psoriasis, Sleep Apnea Syndrome",0.4139429248543498,0.9388660873641885
ENSG00000234465.10,4,"Atrial Septal Defect, Conductive Hearing Loss Disorder, Patent Ductus Arteriosus, Patent Foramen Ovale",0.4577636238441865,0.9730291980329612
ENSG00000206601.1,4,"Eustachian Tube Disorder, Obstructive Sleep Apnea Syndrome, Otitis Media, Susceptibility To, Patent Ductus Arteriosus",0.46200607902735563,0.9362516109360064
ENSG00000107551.20,4,"Alopecia Areata, Hidradenitis Suppurativa, Obstructive Sleep Apnea Syndrome, Reactive Airway Disease",0.3058189655172414,0.894716576515108
ENSG00000169136.10,4,"Obstructive Sleep Apnea Syndrome, Otitis Media, Susceptibility To, Patent Ductus Arteriosus, Patent Foramen Ovale",0.5280671296296295,0.9954052414766392
ENSG00000140511.11,4,"Eustachian Tube Disorder, Otitis Media, Susceptibility To, Patent Ductus Arteriosus, Patent Foramen Ovale",0.3862516793551276,0.9078771177806189
ENSG00000235304.1,4,"Conductive Hearing Loss Disorder, Eustachian Tube Disorder, Otitis Media, Susceptibility To, Patent Foramen Ovale",0.4822043628013777,0.9817915486813956
ENSG00000268027.5,4,"Hashimoto Thyroiditis, Atrioventricular Septal Defect, Celiac Disease, Ventricular Septal Defect",0.4090055069646906,0.96035929992612
ENSG00000122378.13,4,"Hashimoto Thyroiditis, Celiac Disease, Hearing Loss Disorder, Otitis Media, Susceptibility To",0.323039923039923,0.9739240887302907
ENSG00000168118.11,4,"Congenital Heart Disease, Eustachian Tube Disorder, Hearing Loss Disorder, Strabismus",0.3024193548387097,0.9951659680828532
ENSG00000100298.15,4,"Alopecia Areata, Atrial Septal Defect, Atrioventricular Septal Defect, Hidradenitis Suppurativa",0.4458777663112029,0.9862193092111224
ENSG00000232680.2,4,"Astigmatism, Patent Ductus Arteriosus, Patent Foramen Ovale, Strabismus",0.41670751633986924,0.9803606622926692
ENSG00000197122.11,4,"Obstructive Sleep Apnea Syndrome, Otitis Media, Susceptibility To, Patent Ductus Arteriosus, Pulmonary Hypertension",0.41676179284874937,0.9132676200751332
ENSG00000185760.15,4,"Atrial Septal Defect, Atrioventricular Septal Defect, Folliculitis, Ventricular Septal Defect",0.4199839624262558,0.989801379881385
ENSG00000226308.1,4,"Obstructive Sleep Apnea Syndrome, Otitis Media, Susceptibility To, Patent Ductus Arteriosus, Patent Foramen Ovale",0.49451659451659447,0.9973375682597341
ENSG00000255587.7,3,"Hidradenitis Suppurativa, Patent Foramen Ovale, Seborrheic Dermatitis",0.33796296296296297,0.9999808977458552
ENSG00000204366.3,3,"Hidradenitis Suppurativa, Obstructive Sleep Apnea Syndrome, Sleep Apnea Syndrome",0.6372893258426966,0.9603921382719256
ENSG00000114853.13,3,"Atrioventricular Septal Defect, Celiac Disease, Scoliosis",0.4202898550724638,0.9873492862521491
ENSG00000133131.14,3,"Alopecia Areata, Eustachian Tube Disorder, Strabismus",0.34775641025641024,0.9010075349426567
ENSG00000166126.10,3,"Eustachian Tube Disorder, Otitis Media, Susceptibility To, Patent Foramen Ovale",0.5301204819277109,0.9860567078457815
ENSG00000276317.1,3,"Astigmatism, Obstructive Sleep Apnea Syndrome, Reactive Airway Disease",0.366504854368932,0.995659390462858
ENSG00000197608.11,3,"Alopecia Areata, Atrioventricular Septal Defect, Scoliosis",0.3132183908045977,0.9332714342907849
ENSG00000273148.1,3,"Celiac Disease, Folliculitis, Hearing Loss Disorder",0.5108556832694764,0.9116242748441314
ENSG00000250101.1,3,"Hearing Loss Disorder, Patent Ductus Arteriosus, Patent Foramen Ovale",0.5180310608054751,0.9898370626850174
ENSG00000124225.15,3,"Hidradenitis Suppurativa, Psoriasis, Sleep Apnea Syndrome",0.30701754385964913,0.9617704921481761
ENSG00000166704.11,3,"Alopecia Areata, Atrioventricular Septal Defect, Hypothyroidism",0.4729678638941399,0.9813979773032891
ENSG00000275263.1,3,"Celiac Disease, Folliculitis, Obstructive Sleep Apnea Syndrome",0.5118750000000001,0.9614995353245434
ENSG00000197442.9,3,"Astigmatism, Eustachian Tube Disorder, Obstructive Sleep Apnea Syndrome",0.40982905982905987,0.950286639972564
ENSG00000253958.1,3,"Atrioventricular Septal Defect, Celiac Disease, Scoliosis",0.33473684210526317,0.9686264309366535
ENSG00000197380.10,3,"Atrioventricular Septal Defect, Scoliosis, Ventricular Septal Defect",0.2903225806451613,0.9315007543823713
